Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
"HSBC North America Holdings, Inc",,Open,08/06/2008,,"10,000 and over",1522,"AL, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY"
"HSI USA Inc.",,Open,03/07/2018,,"20 to 99",7,"CA, CO, DC, FL, IL, TX, UT"
"HSIAO & ASSOCIATES",,Open,04/17/2013,,"5 to 9",1,CA
"HT Capital Advisors, LLC",,Open,08/24/2015,,"10 to 19",1,NY
"HUAJIE LLC",,Open,04/23/2013,,"5 to 9",1,NJ
"Huatai Securities (USA), Inc","Huatai Securities (USA), Inc",Open,10/25/2019,,"10 to 19",1,NY
"Hub International",,Terminated,09/09/2013,06/30/2017,"100 to 499",7,"IL, SC"
"HUB International Insurance Services Inc.",,Terminated,07/08/2014,10/08/2017,"100 to 499",11,"AZ, CO"
"Hub International Limited",,Open,06/08/2016,,"5,000 to 9,999",331,"AK, AL, AR, CA, CO, CT, FL, GA, IA, ID, IL, KS, LA, MA, ME, MI, MN, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WY"
"Hub International Milne of Arizona",,Open,01/02/2008,,"5 to 9",1,AZ
"Huckaby & Associates, Inc.",,Open,02/01/2013,,"5 to 9",1,SC
"Hudson & Associates",,Open,08/28/2017,,"10 to 19",1,AL
"Hudson Advisors L.P.",,Open,03/10/2016,,"100 to 499",2,"NY, TX"
"Hudson Americas L.P.",,Open,03/10/2016,,"100 to 499",2,"NY, TX"
"Hudson Bay Capital Management","Hudson Bay Capital",Open,06/10/2014,,"20 to 99",1,NY
"Hudson City Savings Bank",,Open,09/02/2009,,"1,000 to 2,499",1,NJ
"Hudson Cove Capital Management LLC","Hudson Cove Capital Management",Open,11/04/2019,,"5 to 9",1,NJ
"Hudson Health Plan, Inc.",,Open,04/18/2012,,"100 to 499",1,NY
"Hudson Heritage Federal Credit Union",,Open,09/09/2009,,"20 to 99",1,NY
"Hudson River Group Management",,Open,05/31/2017,,"5 to 9",9,NY
"Hudson River Trading LLC",,Open,02/16/2017,,"100 to 499",2,NY
"Hudson River Trading, LLC",,Open,07/19/2017,,"100 to 499",1,NY
"Hudson Structured Capital Management Ltd.",,Open,06/24/2019,,"20 to 99",2,"CT, NY"
"Hudson Valley Federal Credit Union",,Open,09/08/2009,,"500 to 999",1,NY
"Hudson, Steed & Windle",,Open,05/18/2012,,"5 to 9",1,AL
"HUEHN INC","STATE FARM KIRK HUEHN AGENCY",Terminated,11/01/2010,11/02/2010,"5 to 9",1,IA
"Huelskoetter Agency, LLC",,Open,10/18/2011,,"5 to 9",1,MO
"Huey T Littleton Claims Service of West Texas, Inc.","The Littleton Group",Open,04/18/2018,,"100 to 499",1,TX
"Huff, Thomas and Company",,Open,03/10/2009,,"20 to 99",1,MO
"Huggins Actuarial Services, Inc.",,Terminated,08/03/2016,11/04/2019,"10 to 19",1,PA
"Huggins Insurance Agency",,Terminated,07/08/2010,04/24/2019,"5 to 9",1,SC
"Huggins Insurance Agency, Inc.",,Open,03/04/2019,,"5 to 9",1,SC
"Hugh Wood Inc",,Open,06/29/2012,,"5 to 9",1,WA
"Hughes Federal Credit Union",,Open,05/10/2016,,"100 to 499",1,AZ
"Hughes Federal Credit Union",,Open,07/24/2007,,"100 to 499",8,AZ
"HUHUI CAIFU FINANCIAL & INSURANCE AGENCY INC.",,Open,01/13/2020,,"5 to 9",1,CA
"HULL & COMPANY, INC",,Open,03/05/2007,,"20 to 99",1,CO
"HULL INVESTMENTS LLC",,Open,02/02/2017,,"10 to 19",1,IL
"Hull Street Energy, LLC",,Open,05/07/2019,,"10 to 19",1,MD
"Hultquist Firm",,Open,02/18/2014,,"5 to 9",1,SC
"Human Ventures LLC",,Open,08/08/2018,,"10 to 19",1,NY
"Humana Military Healthcare Services, Inc.",,Open,07/08/2008,,"1,000 to 2,499",40,"AL, AR, CO, FL, GA, KY, LA, MS, NC, OH, PR, TN"
"Humana Military Healthcare Services, Inc.",,Open,07/08/2008,,"500 to 999",27,"AR, LA, OK, TX"
"Humana Veterans Healthcare Services, Inc.",,Open,07/25/2008,,"100 to 499",13,"FL, IA, KY, LA, MN, MS, ND, NE, OK, OR, WA"
"Humble Capital Group, LLC",,Open,01/07/2016,,"10 to 19",1,TX
"Humbolt Merchant Services",,Open,01/11/2008,,"20 to 99",4,"CA, OR, UT"
"Huner & Cyr, P.C.",,Open,07/16/2012,,"5 to 9",1,AL
"Hunt Insurance Agency LLC",,Open,01/19/2012,,"5 to 9",1,SC
"Hunt Insurance Agency, Inc",,Open,10/29/2018,,"5 to 9",1,MO
"Hunt Insurance Group, LLC",,Open,05/26/2010,,"20 to 99",2,FL
"Hunter Consulting",,Open,08/01/2019,,"20 to 99",1,OH
"Hunter Financial Group, LLC",,Open,10/04/2007,,"20 to 99",3,"AZ, IN, TX"
"Hunter Mortgage Inc.",,Open,10/06/2011,,"5 to 9",1,SC
"Hunter Warfield, Inc.",,Open,09/08/2015,,"100 to 499",2,"AZ, FL"
"Hunting Hill Global Capital, LLC",,Open,01/10/2012,,"5 to 9",1,NY
"Hunting Hill Global Capital, LLC",,Open,12/01/2011,,"5 to 9",1,NY
"Huntington Bancshares Incorporated",,Open,10/22/2018,,"10,000 and over",1064,"AZ, CA, CO, CT, FL, GA, IL, IN, KS, KY, MA, MD, MI, MO, NJ, NY, OH, PA, TN, TX, VA, WI, WV"
"Huntington Bancshares Incorporated",,Terminated,09/08/2009,03/02/2020,"10,000 and over",29,"FL, IN, KY, MI, OH, PA, WV"
"Huntington Bancshares, Inc.",,Open,02/07/2012,,"10,000 and over",29,"FL, IN, KY, MI, OH, PA, WV"
"Hurom Community Bank",,Open,03/17/2015,,"20 to 99",1,MI
"Huron Valley Financial, Inc",,Open,09/29/2016,,"100 to 499",1,MI
"Hutcheson Enterprises Inc",,Terminated,11/27/2007,01/12/2011,"500 to 999",248,"AL, GA, ID, IL, KS, MO, MS, MT, NM, SC, TN, VA"
"Hutcheson Enterprises Inc",,Open,03/30/2012,,"500 to 999",73,"AL, DE, GA, ID, IL, KS, MO, MS, NH, NM, TN"
"Hutchin Hill Capital, LP.",,Open,02/25/2014,,"20 to 99",1,NY
"Hutchinson Traylor Insurance",,Open,04/10/2012,,"20 to 99",3,GA
"Hutchinson Traylor Insurance Agency",,Open,09/22/2015,,"20 to 99",3,GA
"Hutchinson, Shockey, Erley & Co",,Open,08/26/2008,,"20 to 99",7,"AZ, CO, FL, IL, NM, TX, WI"
"HUTN Group, Inc",,Open,08/17/2017,,"20 to 99",1,OH
"Hutson-Etherredge Brown Inc",,Open,01/23/2012,,"20 to 99",1,SC
"Hutton Capital Management LLC",,Open,05/23/2017,,"5 to 9",1,NY
"HVAC Investigators, LLC",HVACi,Open,02/02/2018,,"20 to 99",1,NC
"HWL, LLC","Thrivent Financial",Open,09/27/2012,,"5 to 9",1,NE
"Hyas Group LLC",,Open,10/22/2012,,"5 to 9",1,OR
"HYATT CAR CO","HYATT CAR CO",Open,03/07/2019,,"5 to 9",1,AZ
"Hyatt Legal Plans, Inc.",,Open,02/13/2008,,"100 to 499",1,OH
"Hyde Park Capital Advisors LLC",,Open,09/22/2016,,"10 to 19",1,FL
"Hyde Park Savings Bank",,Open,12/05/2008,,"100 to 499",1,MA
"Hylant Group, Inc.",,Open,03/31/2015,,"500 to 999",14,"FL, IL, IN, MI, OH, TN"
"Hyperion Capital Group",,Open,05/25/2010,,"100 to 499",1,OR
Hyperwallet,"HSI USA, Inc.",Open,04/06/2017,,"20 to 99",1,CA
"Hypotheca Capital LLC",,Open,01/31/2017,,"20 to 99",1,NY
"Hyundai Capital America",,Open,07/27/2012,,"100 to 499",1,GA
"Hyundai Capital America","Hyundai Capital America",Terminated,04/07/2015,07/22/2016,"100 to 499",1,GA
"HYUNDAI INSURANCE AND FINANCIAL SERVICE",,Open,03/19/2019,,"5 to 9",1,TX
"Hyundai Marine & Fire Insurance Co., Ltd. US Branch",,Open,02/08/2017,,"10 to 19",1,NJ
"Hywin Capital Management, LLC.",,Open,11/02/2016,,"10 to 19",1,NY
"I Squared Capital Advisors US LLC",,Terminated,11/28/2017,02/04/2018,"5 to 9",1,NY
"I.F.G. Atlanta LLC",,Open,04/14/2015,,"5 to 9",1,GA
"i3 Verticals Management Services Inc",,Open,03/11/2015,,"20 to 99",1,TN
"i3 Verticals Management Services, Inc.",,Open,02/04/2016,,"500 to 999",7,"CO, FL, GA, MN, NY, OH, TN"
"IAA Shared Services, LLC",,Terminated,09/22/2014,07/07/2019,"20 to 99",1,FL
"IAB Solutions, LLC",,Open,04/17/2018,,"20 to 99",4,"CT, IL, PA, WI"
iAdvanceNow!,iAdvanceNow!,Open,07/25/2018,,"20 to 99",1,NY
"IAM Community Federal Credit Union",,Open,05/16/2013,,"10 to 19",1,AL
"IAT Insurance Group",,Open,03/19/2019,,"500 to 999",1,NC
"IATS, LLC",,Open,03/22/2019,,"500 to 999",1,TX
"IB Corp",,Open,02/23/2015,,"10 to 19",2,"CT, IL"
"Ibanez Mortgage Group","USA Loans",Open,03/17/2017,,"10 to 19",2,"MD, VA"
"Iberia Bank Mortgage",,Open,12/05/2019,,"10 to 19",1,FL
"IBERIABANK Corporation",,Open,02/22/2012,,"500 to 999",251,"AL, AR, FL, GA, ID, IL, LA, MD, MO, MS, NC, NE, NY, OK, TN, TX"
"Iberiabank Mortgage Company",,Open,04/20/2012,,"500 to 999",1,AR
"IBERVILLE BANK",,Open,08/25/2011,,"20 to 99",1,LA
"IBG LLC",,Open,02/17/2015,,"100 to 499",1,CT
IBOD,,Open,02/25/2019,,"100 to 499",1,OH
"IC System",,Open,11/08/2016,,"100 to 499",2,"MN, WI"
"IC System",,Open,04/18/2018,,"500 to 999",2,"MN, WI"
"Icahn Associates",,Open,07/11/2011,,"20 to 99",1,NY
"iCapital Network","iCapital Network",Open,11/20/2019,,"100 to 499",1,NY
"iCapital Network, Inc.",,Terminated,06/23/2017,03/06/2019,"20 to 99",1,NY
"ICBC Standard Resources (America) Inc.",,Open,06/19/2015,,"20 to 99",1,NY
"ICC MORTGAGE SERVICES",,Open,08/25/2009,,"20 to 99",1,NY
"ICE Canyon",,Open,07/06/2010,,"100 to 499",1,CA
"ICG Advisors, LLC",,Terminated,01/04/2018,02/03/2020,"20 to 99",1,CA
ICI,,Open,05/28/2016,,"20 to 99",1,KS
"ICM CAPITAL MARKETS LTD",,Open,05/12/2010,,"10 to 19",1,NY
"Icon Credit Union",,Open,01/31/2019,,"100 to 499",1,ID
"Icon Credit Union",,Open,06/18/2014,,"20 to 99",1,ID
"Icon Payments, LLC",,Open,03/07/2016,,"10 to 19",2,"FL, NY"
"ICON Residential Capital, LLC",,Open,07/28/2008,,"20 to 99",1,CA
"ICW Group Holdings, Inc.",,Open,02/15/2019,,"500 to 999",1,CA
IDACORP,,Terminated,12/30/2012,03/02/2020,"2,500 to 4,999",1,ID
"Idaho Central Credit Union",,Open,07/28/2015,,"500 to 999",1,ID
"Idaho Central Credit Union",,Open,02/12/2019,,"1,000 to 2,499",1,ID
"Idaho Central Credit Union",,Terminated,09/03/2009,09/25/2015,"100 to 499",1,ID
"Idaho Housing and Finance Association",,Open,12/19/2008,,"100 to 499",5,ID
"Idaho Independent Bank",,Terminated,09/10/2009,10/29/2009,"100 to 499",12,ID
"Idaho State Insurance Fund",,Open,03/19/2007,,"100 to 499",1,ID
"Idaho Title Loans, Inc",,Open,02/24/2015,,"10 to 19",1,GA
"Idaho Title Loans, Inc",,Open,04/29/2016,,"10 to 19",1,GA
"Idaho Title Loans, Inc",,Open,04/24/2012,,"10 to 19",1,ID
"Idaho Title Loans, Inc",,Terminated,10/04/2010,10/25/2010,"10 to 19",1,GA
"Idea Home Loans LLC",,Open,07/18/2018,,"100 to 499",1,CO
"Ideal Credit Union",,Open,06/12/2008,,"100 to 499",5,MN
"Ideal Home Loans LLC",,Open,10/28/2014,,"20 to 99",2,"CA, CO"
"Ideal Insurance Agency, Inc.",,Open,02/05/2008,,"10 to 19",1,AZ
"Ideal Mortgage Bankers Ltd.",,Open,03/13/2007,,"100 to 499",1,NY
"idealquote Inc",,Open,05/29/2019,,"5 to 9",1,MA
"Ideanomics, Inc.","Ideanomics, Inc.",Open,12/10/2018,,"20 to 99",1,NY
IDGUARD,,Open,11/07/2012,,"5 to 9",1,TX
"IDP INSURANCE BROKERAGE, LLC",,Open,06/03/2015,,"10 to 19",7,"AL, AZ, CO, FL, GA, NY, WA"
"IDP RISK MANAGEMENT, LLC",,Terminated,06/03/2015,05/11/2017,"10 to 19",4,"IL, NJ, NY, WA"
"IDS Management",,Open,04/14/2014,,"10 to 19",1,TX
"IEC Group",,Open,10/17/2016,,"500 to 999",1,ID
"IEQ CAPITAL LLC",,Open,05/30/2019,,"20 to 99",1,CA
"IEX Group, Inc",,Open,05/25/2018,,"20 to 99",4,"CA, IL, MA, NY"
"IFP ADVISORS, INC",,Terminated,03/12/2018,09/27/2019,"20 to 99",2,"AZ, FL"
"IFP Advisors, LLC","Independent FinancialPartners",Open,01/10/2018,,"20 to 99",1,FL
"iFreedom Direct Corporation",,Open,09/22/2016,,"100 to 499",2,"CA, UT"
"iFreedom Direct Corporation",,Open,09/09/2008,,"100 to 499",2,"CA, UT"
"IFS Benefits, LLC",,Open,06/28/2016,,"10 to 19",1,DE
"IFS Securities Inc.",,Open,01/27/2014,,"10 to 19",1,GA
"IFX Markets, Inc",,Terminated,05/01/2008,10/02/2008,"20 to 99",1,MA
"IG US LLC",,Open,04/04/2019,,"10 to 19",1,IL
"Ignitist Inc",,Open,09/09/2019,,"5 to 9",1,PA
"IHC Health Solutions",,Open,02/28/2008,,"20 to 99",1,AZ
"IHC Risk Solutions","IHC Risk Solutions",Open,07/10/2013,,"20 to 99",2,"CT, NJ"
"iHealth Technologies Services LLC",,Open,10/13/2009,,"100 to 499",1,GA
"IHL Insurance",,Terminated,09/25/2018,09/01/2019,"20 to 99",1,CA
"Ileana Cabrera-Rodriguez Insurance Agency, Inc.",,Open,06/12/2018,,"10 to 19",1,FL
"ILG Realty",,Open,01/17/2008,,"5 to 9",1,CA
"Illini Corporation",,Open,07/07/2016,,"20 to 99",1,IL
"Illinois Credit Union League",,Open,09/06/2019,,"100 to 499",1,IL
"Illinois Mutual",,Open,11/03/2009,,"100 to 499",1,IL
"Illinois Real Estate Title Center, LLC",,Open,11/26/2013,,"10 to 19",1,IL
"Illinois State Police Federal Credit Union",,Open,11/29/2016,,"20 to 99",1,IL
"Illinois Title Loans, Inc",,Open,02/24/2015,,"20 to 99",1,GA
"Illinois Title Loans, Inc",,Open,04/29/2016,,"20 to 99",1,GA
"Illinois Title Loans, Inc",,Terminated,10/04/2010,10/25/2010,"20 to 99",1,GA
"Illinois Title Loans, Inc.",,Open,04/24/2012,,"20 to 99",1,IL
"Illuminate Operations, Inc.","Illuminate Operations, Inc.",Terminated,11/13/2018,02/27/2019,"5 to 9",1,CA
"ILWU Credit Union",,Open,05/07/2019,,"20 to 99",1,CA
"IMA of Colorado, Inc.",,Terminated,07/22/2008,09/07/2012,"100 to 499",5,"CO, KS, TX"
"Imaco CA Inc","Imaco insurance",Open,06/30/2015,,"5 to 9",1,CA
"IMAGINE HEALTH INC",,Open,02/03/2010,,"10 to 19",2,"NM, UT"
"Imagine Health, Inc.","Imagine Health, Inc.",Open,02/19/2014,,"20 to 99",1,UT
"IMB Resources LLC",,Open,11/24/2009,,"1,000 to 2,499",1,CA
IMC,,Open,02/23/2017,,"100 to 499",1,IL
"IMC Capital, LLC",,Open,11/09/2015,,"20 to 99",1,CA
"IMCA Capital, LLC",,Open,11/11/2013,,"20 to 99",1,CA
"Imco Services Inc.",,Open,02/24/2012,,"10 to 19",1,NY
"Imeriti, Inc.",,Open,12/13/2006,,"10 to 19",1,CA
"IMH Financial Corporation, LLC",,Open,04/16/2019,,"20 to 99",1,AZ
"IMH Management Services, Inc.",,Open,01/19/2009,,"20 to 99",1,AZ
"IMH Management Services, LLC",,Terminated,11/03/2011,07/29/2015,"20 to 99",1,AZ
"IMIS Corporation","International Marine Insurance Services",Open,08/24/2016,,"5 to 9",1,MD
iMortgage,,Open,01/06/2014,,"1,000 to 2,499",1,AZ
"imortgage.com, Inc.",,Open,12/18/2007,,"500 to 999",2,AZ
"Impax Asset Management (US) LLC",,Open,11/09/2018,,"5 to 9",3,"CT, OR, VA"
"Imperial Advance, LLC","Imperial Advance, LLC",Open,05/24/2019,,"10 to 19",1,NY
"Imperial Management Corporation",,Open,11/30/2011,,"100 to 499",1,LA
"IMS Marketing, Inc.","Insurance Management Services",Open,09/09/2015,,"100 to 499",1,TX
"IMS, INC.",,Open,03/09/2009,,"20 to 99",1,IL
"IMT Insurance Co",,Open,11/28/2016,,"100 to 499",1,IA
"IMT Services Corporation",InsureMyTrip,Open,12/11/2017,,"20 to 99",1,RI
"Imus Wilkinson Investment Management",,Open,06/09/2011,,"5 to 9",1,AZ
"Ina B Padgett State Farm Insurance","Ina B Padgett State Farm Insurance",Open,02/24/2020,,"5 to 9",1,FL
"InCap Group, Inc.",,Open,06/09/2009,,"5 to 9",1,MD
"Incapital LLC",,Open,01/08/2015,,"100 to 499",6,"CA, FL, IL, NY, UT"
"Incapital LLC",,Open,02/04/2020,,"100 to 499",2,"FL, IL"
"Incenter Mortgage Solutions LLC",,Open,10/26/2017,,"20 to 99",1,MN
"Incentive Financial Corporation",,Open,02/27/2020,,"10 to 19",1,AL
"Incentrum Group LP",,Open,06/13/2017,,"5 to 9",1,NY
Incepture,,Open,01/08/2009,,"100 to 499",1,FL
"InCharge Debt Solutions",,Open,05/07/2014,,"100 to 499",1,FL
"Income Research and Management",,Open,12/19/2013,,"100 to 499",1,MA
"Income Tax Unlimited, LLC","RB&F Services Inc.",Open,08/31/2010,,"5 to 9",1,GA
"Incommons Bank NA",,Open,03/27/2014,,"20 to 99",4,TX
"InConcert Financial Group",,Open,05/12/2009,,"10 to 19",1,CA
"Incopro Inc",,Terminated,12/21/2016,07/07/2019,"5 to 9",1,NY
IncredibleBank,,Open,07/31/2015,,"100 to 499",15,"MI, WI"
"INDECS Corporation",,Open,01/31/2020,,"20 to 99",1,NJ
"Independence Bancshares, Inc.",,Terminated,01/28/2014,04/09/2017,"5 to 9",1,SC
"Independence Bank",,Open,10/15/2018,,"100 to 499",1,KY
"Independence Bank",,Open,01/15/2010,,"20 to 99",1,MT
"Independence Bank of Georgia",,Open,02/26/2014,,"20 to 99",1,GA
"Independence Blue Cross",,Open,01/28/2010,,"2,500 to 4,999",1,PA
"Independence Capital Asset Partners, LLC",,Open,06/12/2008,,"10 to 19",1,CO
"Independence Healthcare Management",,Open,04/14/2010,,"500 to 999",3,"NJ, PA"
"Independence National Bank",,Open,11/05/2013,,"20 to 99",3,SC
"Independence National Bank",,Terminated,06/29/2010,12/07/2013,"20 to 99",1,SC
"Independence Trust Company",,Open,07/28/2011,,"10 to 19",1,TN
"Independent Administrative Services, LLC",,Terminated,02/18/2016,07/05/2019,"500 to 999",52,"AZ, CA, CO, FL, GA, KY, LA, MI, MO, NC, NE, OH, SC, TN, TX, VA, WV"
"Independent Administrative Services, LLC","AmeriLife Group, LLC",Open,06/11/2019,,"500 to 999",83,"AL, AZ, CO, CT, FL, GA, IN, KY, LA, MA, MI, MO, MS, NC, NE, NV, PA, PR, SC, TN, TX, VA"
"Independent Advisor Alliance",,Open,05/30/2018,,"10 to 19",1,NC
"Independent Advisor Alliance LLC",,Open,10/24/2018,,"10 to 19",1,NC
"Independent Bank",,Open,04/13/2017,,"500 to 999",1,MI
"Independent Bank",,Open,07/25/2016,,"100 to 499",18,"AZ, FL, GA, MO, MS, OK, TN, TX"
"Independent Bank",,Open,12/18/2008,,"100 to 499",23,TX
"Independent Bank",,Open,10/19/2018,,"1,000 to 2,499",83,"CO, TX"
"Independent Bank Corporation",,Open,09/23/2015,,"500 to 999",66,"IL, MI"
"Independent Care Health Plan",,Open,02/05/2020,,"100 to 499",4,WI
"Independent Care Health Plan",iCare,Terminated,12/11/2019,03/02/2020,"100 to 499",4,WI
"Independent Choice Insurance, Inc",,Open,01/19/2012,,"5 to 9",1,SC
"Independent Dealers Advantage, LLC.",,Open,06/28/2013,,"20 to 99",1,GA
"Independent Farmers Bank",,Open,04/16/2009,,"20 to 99",1,MO
"Independent Health",,Open,05/18/2011,,"500 to 999",1,NY
"Independent Health Corporation, Inc.",,Open,12/08/2015,,"20 to 99",1,NY
"Independent Health Foundation",,Open,03/30/2016,,"5 to 9",1,NY
"Independent Healths Pharmacy Benefit Dimensions, LLC",,Open,02/13/2014,,"20 to 99",1,NY
"Independent Insurance Agents and Brokers of Arizona",,Open,10/05/2007,,"5 to 9",1,AZ
"Independent Insurance Brokers","Independent Insurance Brokers",Open,04/16/2013,,"5 to 9",1,SC
"Independent Medical Expert Consulting Services, Inc.",IMEDECS,Open,06/23/2015,,"20 to 99",1,PA
"Independent Pension Consultants",,Terminated,11/21/2013,02/06/2020,"5 to 9",1,MN
"Independent Physicians Associates Medical Group Inc","AllCare IA",Open,06/13/2017,,"100 to 499",1,CA
"Independent Planners Group LLC",,Open,11/16/2017,,"10 to 19",1,AZ
"Independent Portfolio Consultants, Inc. (IPC)",,Open,06/12/2015,,"20 to 99",1,FL
"Independent Professional Services, Inc.",IProfessional,Open,05/23/2018,,"100 to 499",1,PA
"Independent Recovery Resources, Inc.",,Open,06/24/2009,,"10 to 19",1,NY
"INDEPENDENT TAXES LLC",,Open,01/09/2018,,"10 to 19",1,FL
"Independent Wealth H&A Group LLC","Peachtree Capital",Open,05/02/2016,,"20 to 99",1,GA
"Indiana Bank & Trust",,Open,09/14/2009,,"100 to 499",1,IN
"Indiana Finance Company","Oak Motors",Open,06/19/2018,,"20 to 99",1,IN
"Indiana Members Credit Union",,Open,10/14/2015,,"100 to 499",1,IN
"Indiana Search Technologies, LLC",,Open,01/30/2012,,"20 to 99",1,IN
"Indiana University Credit Union",,Open,03/13/2017,,"100 to 499",1,IN
"Indianapolis Local Public Improvement Bond Bank","Indianapolis Local Public Improvement Bond Bank",Open,07/16/2019,,"5 to 9",1,IN
"Indianhead Credit Union",,Open,01/30/2010,,"10 to 19",2,WI
"Indigo Payments, Inc.",,Open,06/22/2012,,"20 to 99",1,GA
"Individual Assurance Company, Life, Health & Accident",,Terminated,03/08/2017,12/20/2019,"20 to 99",1,OK
"Individual Commercial Brokerage, Inc.",,Open,12/07/2015,,"10 to 19",1,NJ
"Industrial and Commercial Bank of China",,Open,09/18/2009,,"100 to 499",3,"CA, NY"
"Industrial and Commercial Bank of China  - NCR",,Open,11/10/2009,,"20 to 99",1,CA
"Industrial and Commercial Bank of China Financial Services",,Open,05/05/2014,,"20 to 99",1,NY
"Industrial and Commercial Bank of China Limited, New York Branch",,Open,05/12/2009,,"20 to 99",1,NY
"Industrial and Commercial Bank of China New York Branch",,Open,09/03/2013,,"20 to 99",1,NY
"Industrial Bank","Industrial Bank",Open,07/31/2019,,"100 to 499",1,DC
"INDUSTRIAL CREDIT CORPORATION",,Open,12/02/2019,,"20 to 99",1,GA
"Industrial Credit Corporation","Columbus Finance Company",Open,01/18/2012,,"20 to 99",10,"AL, GA"
"Industrial Credit Union",,Terminated,03/03/2009,12/02/2017,"20 to 99",1,WA
"Industrial Credit Union of Whatcom County",,Open,11/02/2017,,"20 to 99",1,WA
"Industry Capital Holding, LLC",,Open,05/25/2012,,"10 to 19",1,CA
"Industry Ventures LLC",,Open,07/22/2019,,"20 to 99",1,CA
"Industsrial State Bank",,Open,01/28/2009,,"20 to 99",1,KS
"INFA Energy Brokers LLC",,Open,03/09/2010,,"10 to 19",1,NJ
"Infinisource, Inc.",,Open,11/22/2017,,"500 to 999",1,NC
"Infinisource, Inc.",,Open,12/07/2011,,"100 to 499",4,"IN, MI, NC, OH"
"Infinity Business Group, Inc.",,Open,05/27/2008,,"100 to 499",1,SC
"Infinity Capital Partners, LLC",,Terminated,01/19/2017,02/20/2017,"5 to 9",1,GA
"Infinity Funding PLC",,Open,04/01/2008,,"20 to 99",2,"AZ, NV"
"Infinity Insurance Company",,Open,01/23/2012,,"1,000 to 2,499",10,FL
"Infinity Mortgage Holdings, LLC",,Open,06/10/2016,,"5 to 9",1,TX
"Infinium Capital Management",,Open,07/03/2008,,"100 to 499",1,IL
"InFirst Federal Credit Union",InFirst,Open,07/19/2019,,"20 to 99",1,VA
"Infonet Holding Groups, Inc.",,Open,02/14/2008,,"10 to 19",1,AZ
"Information Providers, Inc",,Open,05/22/2017,,"500 to 999",2,"IA, MN"
"Infosys McCamish Systems LLC",,Open,11/08/2013,,"100 to 499",1,GA
"Infrastructure Management Group, Inc.",,Open,09/06/2013,,"10 to 19",1,MD
"ING CA 009",,Terminated,12/08/2008,10/08/2010,"100 to 499",1,CA
"ING DIRECT",,Open,04/21/2008,,"1,000 to 2,499",3,"CA, DE, MN"
"ING Financial Services LLC",,Open,12/05/2013,,"100 to 499",5,"CA, GA, NJ, NY, TX"
"ING Investment Management International",,Open,08/21/2014,,"20 to 99",2,"GA, NY"
"Ing Life Insurance & Annuity Co",,Open,01/03/2013,,"20 to 99",1,CT
"Ingetrated Benefits Administatrators","Agent Pipeline, Inc",Open,05/10/2017,,"100 to 499",1,WV
"Injury Care Solutions",,Open,01/15/2020,,"20 to 99",1,UT
"Injury Funding LLC",,Open,06/27/2017,,"10 to 19",2,"GA, SC"
"Injury Management Organization, Inc.",,Open,04/05/2016,,"20 to 99",2,TX
"Inland American Real Estate Trust Inc.",,Open,04/22/2015,,"100 to 499",8,"AZ, GA, IL, KY, RI, TX, VA"
"Inland Empire Health Plan",,Open,03/06/2019,,"1,000 to 2,499",1,CA
"Inlanta Mortgage Inc","Inlanta Mortgage Inc",Open,11/14/2017,,"2,500 to 4,999",1,WI
"InLight Management, LLC",,Terminated,01/07/2016,09/24/2018,"5 to 9",1,TX
"Inlign Wealth Management",,Terminated,12/19/2007,07/23/2011,"20 to 99",1,AZ
"INLINE FINANCIAL CORPORATION",,Open,11/21/2019,,"10 to 19",1,AZ
"Innealta Capital, LLC","Innealta Capital",Open,01/01/2018,,"5 to 9",1,TX
"Innergy Lending",,Open,04/21/2008,,"20 to 99",1,GA
"Innovate Loan Servicing Corp.",,Terminated,11/20/2014,02/07/2018,"20 to 99",1,TX
"Innovating Capital Management, LLC",,Open,12/03/2018,,"5 to 9",5,"CT, NY"
"Innovation Endeavors, LLC",,Terminated,07/30/2013,11/16/2019,"5 to 9",1,CA
"Innovation Finance USA LLC",,Open,08/15/2019,,"10 to 19",1,NY
"Innovation Group",,Open,04/15/2009,,"100 to 499",4,"CT, IL, MA"
"Innovative Aftermarket Systems","Innovative Aftermarket Systems, LP",Open,01/29/2020,,"500 to 999",2,"MI, TX"
"Innovative Bank",,Open,12/19/2007,,"20 to 99",1,CA
"Innovative Benefit Consultants","Innovative Business Consultants",Open,10/02/2012,,"10 to 19",1,IA
"Innovative Benefit Planning, LLC",,Open,12/11/2018,,"20 to 99",1,NJ
"INNOVATIVE CLAIMES SERVICE",,Open,11/01/2016,,"20 to 99",1,MO
"Innovative Claims Service",,Open,07/24/2013,,"10 to 19",1,MO
